PubmedID,Title,Publication Date,Non-academic Authors,Company Affiliations
39867994,Characteristics of patients with undiagnosed stage 3 chronic kidney disease: results from an observational study (REVEAL-CKD) in China.,2025 Jan,,
39867860,Enhancing diabetic muscle repair through W-GA nanodots: a nanomedicinal approach to ameliorate myopathy in type 2 diabetes.,2025,,
39867776,The burden of cutaneous fungal infections in a tertiary care hospital in Pakistan.,2025 Jan,,
39867716,Investigation of the Feasibility and Safety of a Highly Intensive Penetration Technique for Recanalization in Severe Calcified Femoropopliteal Occlusive Lesions: A Retrospective Observational Study.,2025 Jan,,
39867713,"The Effect of Zinc Supplementation on Glycemic, Weight, and Blood Pressure Control in Patients With Type 2 Diabetes Mellitus: A Double-Blind Randomized Controlled Trial.",2025 Jan,,
39867657,Overweight and glucose/lipid metabolism abnormality associated with SSRIs: a pharmacovigilance study based on the FDA adverse event reporting system.,2024,,
39867556,Sulforaphane acutely activates multiple starvation response pathways.,2024,,
39867519,Pleiotropic effect of teneligliptin versus glimepiride add-on therapy on hs-CRP and cardiorenal parameters in Indian type 2 diabetes patients: An open-labeled randomized controlled trial.,2025 Jan-Mar,,
39867508,Awareness of Peri-Implantitis Among General Dental Practitioners in Southern Saudi Arabia: A Cross-Sectional Study.,2025 Jan,,
39867488,Sodium-glucose cotransporter 2 inhibitors in patients with type 2 diabetes and myocardial infarction undergoing percutaneous coronary intervention: A systematic review and meta-analysis.,2025 Mar,,
